litho_code,lithology_name,n_samples,rock_group,tier,lith_class,keep,note
LPRO,Lamproite,2,Igneous Lamprophyric,basement,Mafic-ultramafic igneous,Y,lamprophyre: alkaline mafic dyke [ROCK_GROUP: Igneous Lamprophyric]
MANM,Anthropogenic/Man Made Material,2,Anthropogenic/Man Made,basement,EXCLUDED,N,not a rock [ROCK_GROUP: Anthropogenic/Man Made]
HARZ,Harzburgite,2,Igneous Ultramafic Intrusive,basement,Mafic-ultramafic igneous,Y,SARIG ultramafic igneous [ROCK_GROUP: Igneous Ultramafic Intrusive]
COAL,Coal,2,Sediment Chemical/Biogenic Carbonaceous,basement,EXCLUDED,N,organic (coal/lignite): chemistry unlike silicate rocks [ROCK_GROUP: Sediment Chemical/Biogenic Carbonaceous]
BAAN,Basaltic Andesite,2,Igneous Intermediate Extrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intermediate Extrusive]
ASHT,Ash Tuff,2,Igneous Extrusive Fragmental,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Extrusive Fragmental]
ALBL,Albite-Altered Rock (Clastic Sed Precursor),2,Metasediment Siliciclastic,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment Siliciclastic]
CABT,Carbonatite,2,Igneous,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous]
MDAC,Metadacite,2,Meta-Igneous Felsic,basement,Felsic-intermediate igneous,Y,felsic-intermediate protolith chemistry survives [ROCK_GROUP: Meta-Igneous Felsic]
MEXE,Mafic Extrusive Effusive,2,Igneous Mafic Extrusive Effusive,basement,Mafic-ultramafic igneous,Y,SARIG mafic igneous [ROCK_GROUP: Igneous Mafic Extrusive Effusive]
MCTO,Microtonalite,2,Igneous Felsic Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Intrusive]
MEGN,Melagneiss,2,Metamorphic General,basement,Metamorphic,Y,SARIG metamorphic [ROCK_GROUP: Metamorphic General]
MPRD,Metaperidotite,2,Meta-Igneous Ultramafic,basement,Mafic-ultramafic igneous,Y,ultramafic protolith chemistry [ROCK_GROUP: Meta-Igneous Ultramafic]
MRHD,Metarhyodacite,2,Meta-Igneous Felsic,basement,Felsic-intermediate igneous,Y,felsic-intermediate protolith chemistry survives [ROCK_GROUP: Meta-Igneous Felsic]
PCST,Pitchstone,2,Igneous Felsic Extrusive Effusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Extrusive Effusive]
MARK,Meta-Arkose,2,Metasediment Siliciclastic,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment Siliciclastic]
MCGN,Microgneiss,1,Metamorphic General,basement,Metamorphic,Y,SARIG metamorphic [ROCK_GROUP: Metamorphic General]
LATT,Latite,1,Igneous Intermediate Extrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intermediate Extrusive]
KPHR,Keratophyre,1,Igneous Intermediate Extrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intermediate Extrusive]
HYBR,Hydrothermal Breccia,1,Metasomatic/Thermal/Hydrothermal Breccia,basement,EXCLUDED,N,"alteration: chemistry reflects process, not protolith [ROCK_GROUP: Metasomatic/Thermal/Hydrothermal Breccia]"
GNST,Greenstone,1,Metamorphic General,basement,Metamorphic,Y,SARIG metamorphic [ROCK_GROUP: Metamorphic General]
GRUS,Grus,1,Regolith,interburden,In-situ regolith,Y,SARIG regolith group [ROCK_GROUP: Regolith]
HALT,Halite Rock,1,Sediment Chemical/Biogenic Evaporite,basement,Carbonate-chemical sediment,Y,SARIG chemical/biogenic sediment [ROCK_GROUP: Sediment Chemical/Biogenic Evaporite]
FGAB,Ferrogabbro,1,Igneous Mafic Intrusive,basement,Mafic-ultramafic igneous,Y,SARIG mafic igneous [ROCK_GROUP: Igneous Mafic Intrusive]
CAEH,Calcareous Earth,1,Regolith,interburden,In-situ regolith,Y,SARIG regolith group [ROCK_GROUP: Regolith]
BIOT,Biotitite,1,Igneous Ultramafic,basement,Mafic-ultramafic igneous,Y,SARIG ultramafic igneous [ROCK_GROUP: Igneous Ultramafic]
BATA,Basaltic Trachyandesite,1,Igneous Intermediate Extrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intermediate Extrusive]
AFGN,Alkali Feldspar Granite,1,Igneous Felsic Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Intrusive]
EPDT,Epidosite,1,Metasomatic/Thermal/Hydrothermal,basement,EXCLUDED,N,"alteration: chemistry reflects process, not protolith [ROCK_GROUP: Metasomatic/Thermal/Hydrothermal]"
EXHA,Exhalite,1,Sediment Chemical/Biogenic,basement,Carbonate-chemical sediment,Y,SARIG chemical/biogenic sediment [ROCK_GROUP: Sediment Chemical/Biogenic]
FEXE,Felsic Extrusive Effusive,1,Igneous Felsic Extrusive Effusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Felsic Extrusive Effusive]
MCSY,Microsyenite,1,Igneous Intermediate Intrusive,basement,Felsic-intermediate igneous,Y,SARIG felsic/intermediate/undiff igneous [ROCK_GROUP: Igneous Intermediate Intrusive]
OPCA,Ophicalcite,1,Metasediment,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment]
OAMP,Orthoamphibolite,1,Meta-Igneous General Metamorphic,basement,Metamorphic,Y,protolith composition unknown [ROCK_GROUP: Meta-Igneous General Metamorphic]
MSCB,Metasediment Chemical/Biogenic,1,Metasediment Chemical/Biogenic,basement,Metamorphic,Y,SARIG metasediment [ROCK_GROUP: Metasediment Chemical/Biogenic]
MNET,Minette,1,Igneous Lamprophyric,basement,Mafic-ultramafic igneous,Y,lamprophyre: alkaline mafic dyke [ROCK_GROUP: Igneous Lamprophyric]
PKST,Packstone,1,Sediment Chemical/Biogenic Carbonate,basement,Carbonate-chemical sediment,Y,SARIG chemical/biogenic sediment [ROCK_GROUP: Sediment Chemical/Biogenic Carbonate]
